"Date","Time, GMT+10:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","PAR, uE (SEN S/N: 700672)","Wind Speed, m/s (SEN S/N: 809009)","Gust Speed, m/s (SEN S/N: 809009)","Temp, ¡C (SEN S/N: 904122)","RH, % (SEN S/N: 904122)","DewPt, ¡C (SEN S/N: 904122)"
24-10-2007,04:00:00,0.00,8.145,7.167,6.889,6.560,1.2,0.00,2.28,7.03,100.00,7.0
24-10-2007,05:00:00,0.00,8.020,7.091,6.813,6.306,1.2,0.00,2.66,6.62,100.00,6.6
24-10-2007,06:00:00,0.00,7.945,7.041,6.737,5.719,73.7,0.00,2.66,7.03,100.00,7.0
24-10-2007,07:00:00,0.00,7.895,6.788,6.484,5.949,528.7,1.52,3.81,9.82,100.00,9.8
24-10-2007,08:00:00,0.00,7.820,6.636,6.990,10.222,866.2,1.90,4.57,9.03,100.00,9.0
24-10-2007,09:00:00,0.00,7.970,6.661,7.645,17.986,1188.7,1.90,4.57,11.38,100.00,11.4
24-10-2007,10:00:00,0.00,8.195,7.041,8.841,23.448,1876.2,2.66,6.47,13.70,86.25,11.5
24-10-2007,11:00:00,0.00,8.693,7.419,10.320,24.339,1806.2,3.43,6.47,14.09,86.75,11.9
24-10-2007,12:00:00,0.00,9.361,7.569,11.492,27.974,2303.7,3.43,7.61,14.47,75.75,10.3
24-10-2007,13:00:00,0.00,10.100,7.820,12.775,27.014,2216.2,4.19,8.38,14.85,78.75,11.2
24-10-2007,14:00:00,0.00,10.932,8.120,13.594,24.605,1838.7,3.81,7.99,15.23,75.25,10.9
24-10-2007,15:00:00,0.00,11.467,8.469,13.930,21.079,1376.2,3.43,7.23,14.85,73.75,10.2
24-10-2007,16:00:00,0.00,11.734,8.792,13.906,18.842,1373.7,3.43,6.85,15.23,61.75,8.0
24-10-2007,17:00:00,0.00,11.880,9.114,13.738,15.533,578.7,3.43,6.85,14.09,91.25,12.7
24-10-2007,18:00:00,0.00,11.953,9.336,13.329,13.161,163.7,3.43,6.85,10.60,100.00,10.6
24-10-2007,19:00:00,0.00,11.880,9.509,12.751,10.761,16.2,3.43,6.85,9.42,100.00,9.4
24-10-2007,20:00:00,0.00,11.686,9.632,12.074,10.320,1.2,3.43,6.85,8.63,100.00,8.6
24-10-2007,21:00:00,0.00,11.443,9.632,11.540,9.829,1.2,3.43,6.85,8.23,100.00,8.2
24-10-2007,22:00:00,0.00,11.200,9.608,10.858,9.706,1.2,3.43,6.85,8.63,100.00,8.6
24-10-2007,23:00:00,0.00,10.956,9.558,10.247,9.139,1.2,3.43,6.85,9.03,100.00,9.0
25-10-2007,00:00:00,0.00,10.736,9.485,9.879,7.795,1.2,3.43,6.85,8.63,100.00,8.6
25-10-2007,01:00:00,0.00,10.516,9.386,9.485,8.220,1.2,3.43,6.85,9.42,100.00,9.4
25-10-2007,02:00:00,0.00,10.296,9.287,9.163,7.920,1.2,3.43,6.85,9.03,100.00,9.0
25-10-2007,03:00:00,0.00,10.100,8.965,8.891,8.295,1.2,3.43,6.85,9.82,100.00,9.8
25-10-2007,04:00:00,648.87,-87.363,0.522,-51.819,-0.367,1558.7,42.26,48.35,-31.30,100.00,-31.4
25-10-2007,05:00:00,971.02,6.560,-27.460,-73.852,-30.132,2308.7,71.19,83.37,-81.94,100.00,-82.1
25-10-2007,06:00:00,762.44,-0.367,-55.244,-87.363,-55.244,1878.7,97.07,-888.88,-888.88,-888.88,-888.9
25-10-2007,07:00:00,1036.06,-31.845,-31.551,-27.460,-888.880,1118.7,72.71,72.71,1.60,100.00,1.6
25-10-2007,08:00:00,779.21,-55.244,-0.367,-55.244,-0.367,1878.7,97.07,46.82,-31.30,100.00,-31.4
25-10-2007,09:00:00,-888.88,-71.175,-31.845,-97.483,-31.845,1918.7,59.01,95.55,-81.94,100.00,-82.1
